"","Player","Score","Time"
"1","Sami Carlson",530,4
"2","Olga Treischl",530,17
"3","Olov Rasmussen",530,12
"4","Erik Warsky",530,24
"5","Sami Carlson",533,14
"6","Sami Carlson",536,3
"7","Sami Carlson",540,8
"8","Sissy Welch",547,9
"9","Sami Carlson",547,5
"10","Viky Moreux",548,6
"11","Olov Rasmussen",548,12
"12","Olov Rasmussen",552,12
"13","Sami Carlson",552,17
"14","Olga Treischl",552,23
"15","Gerry Walsh",552,21
"16","Erik Warsky",336,20
"17","Sandra Toble",352,8
"18","Olga Treischl",558,9
"19","Nelly Fleming",559,9
"20","Sandra Toble",560,4
"21","Gerry Walsh",567,11
"22","Sandra Toble",572,12
"23","Olov Rasmussen",575,8
"24","Mike Friedman",575,17
"25","Erik Warsky",575,15
"26","Nelly Fleming",575,15
"27","Gunnar Weimar",575,5
"28","Gunnar Weimar",575,21
"29","Erik Warsky",576,19
"30","Sandra Toble",576,20
"31","Olov Rasmussen",412,6
"32","Sandra Toble",580,18
"33","Sissy Welch",582,16
"34","Sami Carlson",NA,NA
"35","Mike Friedman",597,21
"36","Nelly Fleming",600,13
"37","Viky Moreux",419,10
"38","Gerry Walsh",419,22
"39","Nelly Fleming",419,20
"40","Sami Carlson",419,18
"41","Gunnar Weimar",419,23
"42","Sandra Toble",608,14
"43","Sissy Welch",NA,24
"44","Mike Friedman",608,6
"45","Olga Treischl",425,NA
"46","Nelly Fleming",633,18
"47","Gerry Walsh",633,16
"48","Olga Treischl",430,4
"49","Gunnar Weimar",357,20
"50","Gunnar Weimar",357,13
"51","Erik Warsky",364,15
"52","Olga Treischl",432,3
"53","Mike Friedman",432,25
"54","Gerry Walsh",678,9
"55","Sissy Welch",678,8
"56","Viky Moreux",678,9
"57","Olov Rasmussen",678,11
"58","Olga Treischl",678,10
"59","Nelly Fleming",435,20
"60","Olga Treischl",687,11
"61","Sandra Toble",696,7
"62","Viky Moreux",442,13
"63","Gunnar Weimar",442,13
"64","Mike Friedman",447,9
"65","Olov Rasmussen",740,21
"66","Erik Warsky",740,9
"67","Mike Friedman",449,21
"68","Viky Moreux",449,24
"69","Sami Carlson",370,23
"70","Erik Warsky",452,19
"71","Sissy Welch",453,18
"72","Sissy Welch",468,12
"73","Mike Friedman",373,9
"74","Sissy Welch",478,9
"75","Erik Warsky",478,18
"76","Gerry Walsh",478,24
"77","Erik Warsky",485,8
"78","Nelly Fleming",485,25
"79","Gerry Walsh",485,20
"80","Mike Friedman",485,8
"81","Olov Rasmussen",485,15
"82","Gunnar Weimar",485,14
"83","Nelly Fleming",490,15
"84","Erik Warsky",492,9
"85","Gunnar Weimar",498,18
"86","Sami Carlson",498,19
"87","Gerry Walsh",498,12
"88","Viky Moreux",388,12
"89","Olov Rasmussen",505,8
"90","Erik Warsky",505,17
"91","Mike Friedman",505,14
"92","Olov Rasmussen",512,9
"93","Sami Carlson",523,4
"94","Olov Rasmussen",526,16
"95","Sissy Welch",526,11
"96","Olga Treischl",1776,5
"97","Sami Carlson",530,17
"98","Sissy Welch",530,23
"99","Olga Treischl",530,10
"100","Viky Moreux",535,14
"101","Mike Friedman",536,21
"102","Mike Friedman",538,6
"103","Viky Moreux",538,12
"104","Olov Rasmussen",399,22
"105","Gerry Walsh",402,12
"106","Sami Carlson",402,4
"107","Olov Rasmussen",547,16
"108","Gunnar Weimar",552,5
"109","Sissy Welch",552,22
"110","Viky Moreux",552,13
"111","Nelly Fleming",337,11
"112","Olga Treischl",554,15
"113","Nelly Fleming",559,7
"114","Erik Warsky",565,19
"115","Olga Treischl",575,20
"116","Mike Friedman",576,9
"117","Olga Treischl",576,17
"118","Erik Warsky",597,3
"119","Nelly Fleming",597,23
"120","Sissy Welch",419,13
"121","Nelly Fleming",419,12
"122","Erik Warsky",419,18
"123","Mike Friedman",419,17
"124","Olga Treischl",608,22
"125","Sissy Welch",608,16
"126","Sissy Welch",633,10
"127","Gerry Walsh",436,20
"128","Sami Carlson",436,12
"129","Erik Warsky",440,10
"130","Gerry Walsh",740,17
"131","Nelly Fleming",740,7
"132","Mike Friedman",449,9
"133","Mike Friedman",449,16
"134","Olov Rasmussen",449,23
"135","Gerry Walsh",369,10
"136","Erik Warsky",453,23
"137","Gerry Walsh",453,15
